subjectID,age,gender,handedness,startingBlock,sess1_img1,sess1_img2,sess1_img3,sess1_img4,sess1_img5,sess1_img6,sess2_img1,sess2_img2,sess2_img3,sess2_img4,sess2_img5,sess2_img6,score_IUS,score_worry,score_risk,score_ethical,score_financial,score_health,score_recreational,score_social,pcnt_IUS,pcnt_worry,pcnt_risk,pcnt_ethical,pcnt_financial,pcnt_health,pcnt_recreational,pcnt_social
88674,18,M,R,A,bicycle,baby,house,bowtie,zebra,hourglass,hourglass,house,bicycle,bowtie,zebra,baby,25,37,129,26,23,28,23,29,0.416666667,0.4625,0.614285714,0.619047619,0.547619048,0.666666667,0.547619048,0.69047619
263098,32,F,R,A,bicycle,toothbrush,backpack,zebra,hourglass,baby,cupcake,bowtie,cat,house,lamp,car,36,50,120,20,32,11,30,27,0.6,0.625,0.571428571,0.476190476,0.761904762,0.261904762,0.714285714,0.642857143
680913,32,M,R,A,cupcake,bicycle,zebra,hourglass,house,cat,backpack,lamp,bowtie,toothbrush,car,baby,47,68,68,11,14,15,9,19,0.783333333,0.85,0.323809524,0.261904762,0.333333333,0.357142857,0.214285714,0.452380952
383991,24,F,R,A,lamp,backpack,baby,hourglass,zebra,cupcake,bicycle,house,toothbrush,car,cat,bowtie,22,48,91,14,8,26,18,25,0.366666667,0.6,0.433333333,0.333333333,0.19047619,0.619047619,0.428571429,0.595238095
707132,30,M,R,A,house,hourglass,zebra,bowtie,bicycle,cupcake,backpack,lamp,toothbrush,baby,car,cat,14,32,59,12,9,6,15,17,0.233333333,0.4,0.280952381,0.285714286,0.214285714,0.142857143,0.357142857,0.404761905
396430,18,F,R,A,,,,,,,car,bowtie,house,cupcake,zebra,bicycle,23,56,88,9,16,17,10,36,0.383333333,0.7,0.419047619,0.214285714,0.380952381,0.404761905,0.238095238,0.857142857
521846,18,F,R,B,,,,,,,cat,backpack,house,zebra,lamp,bicycle,36,56,80,9,15,14,9,33,0.6,0.7,0.380952381,0.214285714,0.357142857,0.333333333,0.214285714,0.785714286
15397,18,F,R,B,hourglass,toothbrush,baby,cat,bowtie,car,backpack,cupcake,house,zebra,bicycle,lamp,34,67,76,9,11,18,11,27,0.566666667,0.8375,0.361904762,0.214285714,0.261904762,0.428571429,0.261904762,0.642857143
663186,21,F,R,A,hourglass,bicycle,baby,house,backpack,cupcake,bowtie,car,cat,zebra,lamp,toothbrush,35,53,98,9,13,23,20,33,0.583333333,0.6625,0.466666667,0.214285714,0.30952381,0.547619048,0.476190476,0.785714286
97403,24,M,R,B,baby,house,car,toothbrush,cupcake,bicycle,backpack,lamp,cat,bowtie,zebra,hourglass,44,67,143,26,26,34,20,37,0.733333333,0.8375,0.680952381,0.619047619,0.619047619,0.80952381,0.476190476,0.880952381
503608,22,F,R,B,baby,zebra,car,cupcake,cat,house,lamp,hourglass,toothbrush,bicycle,backpack,bowtie,33,63,72,8,12,11,19,22,0.55,0.7875,0.342857143,0.19047619,0.285714286,0.261904762,0.452380952,0.523809524
147947,22,F,R,B,bicycle,baby,cupcake,house,cat,lamp,hourglass,car,zebra,toothbrush,bowtie,backpack,37,61,64,9,13,7,10,25,0.616666667,0.7625,0.304761905,0.214285714,0.30952381,0.166666667,0.238095238,0.595238095
506559,20,M,R,B,baby,hourglass,toothbrush,cupcake,backpack,zebra,lamp,house,car,bicycle,cat,bowtie,26,45,123,16,19,20,36,32,0.433333333,0.5625,0.585714286,0.380952381,0.452380952,0.476190476,0.857142857,0.761904762
18768,35,F,R,B,bowtie,toothbrush,lamp,zebra,car,bicycle,hourglass,cat,backpack,house,cupcake,baby,24,37,88,7,21,18,15,27,0.4,0.4625,0.419047619,0.166666667,0.5,0.428571429,0.357142857,0.642857143
957849,34,M,R,A,bowtie,lamp,car,backpack,cat,house,bicycle,baby,toothbrush,hourglass,cupcake,zebra,24,30,133,24,14,29,35,31,0.4,0.375,0.633333333,0.571428571,0.333333333,0.69047619,0.833333333,0.738095238
12882,27,F,R,B,bowtie,cat,lamp,car,house,backpack,bicycle,hourglass,baby,cupcake,zebra,toothbrush,50,75,96,6,16,11,30,33,0.833333333,0.9375,0.457142857,0.142857143,0.380952381,0.261904762,0.714285714,0.785714286
220598,26,F,R,B,bowtie,bicycle,cat,backpack,house,lamp,hourglass,baby,cupcake,toothbrush,zebra,car,26,29,96,11,7,16,31,31,0.433333333,0.3625,0.457142857,0.261904762,0.166666667,0.380952381,0.738095238,0.738095238
391883,30,F,R,A,lamp,bicycle,cat,bowtie,hourglass,zebra,backpack,baby,toothbrush,car,cupcake,house,37,76,90,13,19,19,19,26,0.616666667,0.95,0.428571429,0.30952381,0.452380952,0.452380952,0.452380952,0.619047619
795776,30,F,R,A,zebra,bicycle,car,bowtie,lamp,hourglass,house,cat,baby,toothbrush,cupcake,backpack,21,36,113,17,14,16,30,36,0.35,0.45,0.538095238,0.404761905,0.333333333,0.380952381,0.714285714,0.857142857
27480,23,M,R,A,bowtie,toothbrush,lamp,car,zebra,bicycle,house,cat,backpack,cupcake,baby,hourglass,36,42,117,21,13,22,28,33,0.6,0.525,0.557142857,0.5,0.30952381,0.523809524,0.666666667,0.785714286
